PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
44,1,3,"Allen, Mrs. John",female,35.3,0,0,8.83,S
45,1,2,"Moran, Mr. Harry",male,56.1,1,0,25.43,S
46,0,3,"McCarthy, Mr. Nora",male,15.8,0,2,10.51,S
47,1,1,"Palsson, Mr. Florence",male,14.9,0,1,102.98,C
48,0,3,"Johnson, Mr. William",male,28.8,0,0,11.84,Q
49,0,2,"Nasser, Mr. Gustaf",male,21.5,1,0,24.09,S
50,1,3,"Sandstrom, Mrs. Margit",female,22.3,1,0,6.36,S
51,1,3,"Bonnell, Mr. Heinrich",male,27.8,0,1,9.68,C
52,0,3,"Chambers, Mr. Ada",male,28.0,0,0,13.93,S
53,1,3,"Frolicher, Mrs. Thomas",female,,1,1,16.24,S
54,1,1,"Kelly, Mrs. Laina",female,35.3,1,1,87.59,S
55,1,1,"Anderson, Mrs. James",female,20.3,2,0,78.43,C
56,0,3,"Smith, Mr. Oscar",male,35.1,1,0,13.3,Q
57,1,3,"Brown, Mr. Elizabeth",male,25.3,0,1,15.18,C
58,1,3,"Davis, Mrs. Annie",female,45.9,1,0,11.83,S
59,0,3,"Wilson, Mr. Edward",male,48.8,1,0,11.17,S
60,0,3,"Braund, Mr. Owen",male,20.8,0,0,14.07,C
61,0,1,"Cumings, Mr. Lily",male,18.0,2,0,82.04,C
62,1,3,"Heikkinen, Mrs. Timothy",female,23.9,2,0,18.44,S
63,0,3,"Futrelle, Mr. Maria",male,7.0,0,0,11.41,C
64,0,3,"Allen, Mr. John",male,24.9,0,1,10.52,S
65,0,3,"Moran, Mr. Harry",male,65.5,0,0,20.64,S
66,1,3,"McCarthy, Mrs. Nora",female,22.9,2,0,8.98,S
67,1,2,"Palsson, Mr. Florence",male,6.3,0,0,19.71,S
68,1,1,"Johnson, Mr. William",male,57.7,0,1,65.95,C
69,1,3,"Nasser, Mrs. Gustaf",female,28.5,0,0,9.43,Q
70,0,2,"Sandstrom, Mr. Margit",male,,0,1,22.45,S
71,0,3,"Bonnell, Mr. Heinrich",male,61.9,0,0,14.97,S
72,1,3,"Chambers, Mr. Ada",male,51.8,0,1,3.8,S
73,1,3,"Frolicher, Mr. Thomas",male,8.0,0,0,14.27,S
74,0,3,"Kelly, Mr. Laina",male,35.2,1,0,8.82,S
75,0,2,"Anderson, Mr. James",male,29.3,0,0,28.12,C
76,1,3,"Smith, Mrs. Oscar",female,35.5,0,0,10.91,S
77,1,3,"Brown, Mr. Elizabeth",male,6.1,1,0,9.31,S
78,1,2,"Davis, Mr. Annie",male,15.9,1,1,24.74,Q
79,1,3,"Wilson, Mrs. Edward",female,,0,0,10.05,S
80,1,1,"Braund, Mr. Owen",male,21.9,0,0,86.17,S
81,1,3,"Cumings, Mr. Lily",male,64.8,1,0,17.08,C
82,0,1,"Heikkinen, Mr. Timothy",male,48.4,1,0,138.69,S
83,1,3,"Futrelle, Mr. Maria",male,28.4,2,0,12.51,S
84,0,3,"Allen, Mrs. John",female,26.6,0,0,7.55,S
85,0,2,"Moran, Mr. Harry",male,,0,0,34.23,S
86,0,2,"McCarthy, Mr. Nora",male,40.3,0,0,6.33,S
87,0,3,"Palsson, Mr. Florence",male,23.6,0,0,11.21,S
88,0,3,"Johnson, Mr. William",male,,1,0,17.01,S
89,0,3,"Nasser, Mr. Gustaf",male,,0,0,12.13,S
90,0,3,"Sandstrom, Mrs. Margit",female,46.8,1,1,19.79,S
91,1,1,"Bonnell, Mrs. Heinrich",female,40.3,0,0,77.82,S
92,1,3,"Chambers, Mrs. Ada",female,26.8,0,1,5.42,S
93,1,1,"Frolicher, Mr. Thomas",male,44.7,0,2,73.17,Q
94,0,3,"Kelly, Mr. Laina",male,36.5,1,0,20.49,S
95,1,2,"Anderson, Mrs. James",female,36.1,1,0,23.03,S
96,0,3,"Smith, Mr. Oscar",male,33.8,0,0,3.42,S
97,0,3,"Brown, Mr. Elizabeth",male,34.2,1,1,12.52,C
98,0,3,"Davis, Mr. Annie",male,54.4,0,0,10.53,C
99,0,3,"Wilson, Mrs. Edward",female,46.0,0,1,8.55,S
100,1,1,"Braund, Mrs. Owen",female,,0,0,62.36,C
101,0,3,"Cumings, Mrs. Lily",female,46.2,0,0,5.27,S
102,0,3,"Heikkinen, Mr. Timothy",male,32.3,1,0,12.0,S
103,1,2,"Futrelle, Mr. Maria",male,41.1,0,0,45.21,S
104,0,3,"Allen, Mr. John",male,33.1,1,1,10.33,S
105,1,3,"Moran, Mr. Harry",male,44.6,1,0,11.47,S
106,1,3,"McCarthy, Mrs. Nora",female,,0,0,8.99,S
107,0,2,"Palsson, Mr. Florence",male,29.4,0,1,40.56,S
108,1,2,"Johnson, Mrs. William",female,48.2,0,1,15.74,S
109,1,3,"Nasser, Mr. Gustaf",male,18.1,1,1,8.55,S
110,1,3,"Sandstrom, Mrs. Margit",female,24.8,0,0,10.95,C
111,1,3,"Bonnell, Mr. Heinrich",male,33.1,1,0,11.66,S
112,0,3,"Chambers, Mrs. Ada",female,39.0,2,0,17.84,C
113,1,3,"Frolicher, Mr. Thomas",male,22.6,2,0,11.91,S
114,0,3,"Kelly, Mr. Laina",male,35.6,0,0,19.36,S
115,0,3,"Anderson, Mr. James",male,48.3,0,0,17.29,S
116,0,3,"Smith, Mrs. Oscar",female,46.6,0,0,14.78,
117,1,1,"Brown, Mr. Elizabeth",male,25.0,2,1,89.55,S
118,0,2,"Davis, Mr. Annie",male,46.7,2,0,27.08,S
119,1,3,"Wilson, Mrs. Edward",female,32.5,1,0,23.86,S
120,0,3,"Braund, Mrs. Owen",female,,2,0,14.44,C
121,0,3,"Cumings, Mr. Lily",male,9.2,0,1,17.17,S
122,0,3,"Heikkinen, Mr. Timothy",male,31.2,1,0,4.85,S
123,0,3,"Futrelle, Mr. Maria",male,40.8,1,0,12.77,S
124,1,1,"Allen, Mrs. John",female,33.6,0,0,80.8,S
125,0,3,"Moran, Mr. Harry",male,47.7,2,1,15.71,S
126,0,3,"McCarthy, Mr. Nora",male,20.1,2,2,13.71,S
127,1,2,"Palsson, Mr. Florence",male,25.4,0,1,27.94,S
128,0,2,"Johnson, Mrs. William",female,21.0,0,0,22.27,S
129,0,3,"Nasser, Mr. Gustaf",male,52.1,1,1,16.13,S
130,0,1,"Sandstrom, Mr. Margit",male,69.6,1,1,123.53,S
131,0,3,"Bonnell, Mr. Heinrich",male,31.3,0,1,17.45,S
132,1,2,"Chambers, Mrs. Ada",female,12.6,1,2,17.15,C
133,0,2,"Frolicher, Mr. Thomas",male,20.0,2,0,27.55,C
134,0,1,"Kelly, Mr. Laina",male,23.8,0,1,92.69,S
135,0,3,"Anderson, Mrs. James",female,,0,0,18.3,C
136,1,3,"Smith, Mrs. Oscar",female,32.4,0,0,9.14,S
137,0,2,"Brown, Mr. Elizabeth",male,20.0,1,0,16.75,S
138,0,3,"Davis, Mr. Annie",male,23.2,1,0,13.19,S
139,0,1,"Wilson, Mr. Edward",male,27.6,2,0,68.93,S
140,1,3,"Braund, Mrs. Owen",female,53.0,1,1,15.01,Q
141,1,1,"Cumings, Mr. Lily",male,40.7,1,0,60.65,S
142,0,3,"Heikkinen, Mr. Timothy",male,58.4,0,0,11.62,S
143,0,3,"Futrelle, Mrs. Maria",female,3.5,0,0,17.91,S
144,1,1,"Allen, Mr. John",male,31.7,4,0,5.66,C
145,1,1,"Moran, Mr. Harry",male,14.7,0,0,89.31,S
146,1,1,"McCarthy, Mrs. Nora",female,30.7,0,0,80.21,C
147,0,2,"Palsson, Mr. Florence",male,20.4,1,0,20.69,S
148,1,3,"Johnson, Mrs. William",female,39.6,1,1,11.29,C
149,1,3,"Nasser, Mrs. Gustaf",female,24.9,1,0,6.75,Q
150,0,3,"Sandstrom, Mr. Margit",male,24.5,1,1,7.65,C
151,1,2,"Bonnell, Mr. Heinrich",male,31.8,0,0,39.68,S
152,0,3,"Chambers, Mr. Ada",male,33.9,0,0,16.78,C
153,0,1,"Frolicher, Mr. Thomas",male,60.5,1,1,85.31,Q
154,0,2,"Kelly, Mr. Laina",male,,0,0,6.16,Q
155,1,3,"Anderson, Mr. James",male,35.7,1,1,9.59,S
156,0,3,"Smith, Mr. Oscar",male,41.8,0,0,4.73,S
157,1,2,"Brown, Mr. Elizabeth",male,0.1,0,0,21.39,S
158,1,3,"Davis, Mrs. Annie",female,37.9,0,0,13.89,Q
159,1,1,"Wilson, Mrs. Edward",female,44.5,1,0,114.86,S
160,1,3,"Braund, Mrs. Owen",female,26.0,0,0,13.46,C
161,0,2,"Cumings, Mr. Lily",male,31.3,0,1,8.88,S
162,1,3,"Heikkinen, Mrs. Timothy",female,61.4,2,0,19.25,S
163,0,2,"Futrelle, Mrs. Maria",female,46.2,0,0,12.59,Q
164,0,1,"Allen, Mr. John",male,41.2,2,0,66.19,S
165,0,2,"Moran, Mr. Harry",male,19.4,1,1,28.56,S
166,0,3,"McCarthy, Mrs. Nora",female,43.0,0,1,10.71,S
167,1,2,"Palsson, Mr. Florence",male,-2.2,0,1,24.35,S
168,0,3,"Johnson, Mrs. William",female,49.8,0,1,8.8,S
169,0,2,"Nasser, Mrs. Gustaf",female,26.4,0,0,31.43,C
170,1,1,"Sandstrom, Mrs. Margit",female,32.5,1,1,68.69,C
171,0,3,"Bonnell, Mr. Heinrich",male,20.9,0,0,7.95,C
172,1,1,"Chambers, Mrs. Ada",female,14.8,0,0,80.31,S
173,0,3,"Frolicher, Mrs. Thomas",female,33.3,1,1,5.43,S
174,0,3,"Kelly, Mr. Laina",male,25.7,1,0,12.87,S
175,1,3,"Anderson, Mrs. James",female,,1,1,3.0,S
176,0,3,"Smith, Mrs. Oscar",female,33.7,0,0,15.41,S
177,1,2,"Brown, Mrs. Elizabeth",female,31.7,2,1,20.05,S
178,0,3,"Davis, Mr. Annie",male,29.2,0,0,13.27,S
179,0,2,"Wilson, Mr. Edward",male,39.7,0,0,24.49,C
180,1,3,"Braund, Mrs. Owen",female,31.9,1,1,14.22,S
181,0,3,"Cumings, Mr. Lily",male,,0,0,12.42,S
182,0,3,"Heikkinen, Mrs. Timothy",female,34.0,0,1,8.72,Q
183,0,3,"Futrelle, Mr. Maria",male,23.0,1,0,15.85,S
184,1,1,"Allen, Mrs. John",female,30.6,0,0,49.11,S
185,0,3,"Moran, Mr. Harry",male,22.4,0,0,12.63,
186,1,2,"McCarthy, Mr. Nora",male,12.4,0,1,17.22,S
187,0,1,"Palsson, Mr. Florence",male,39.1,0,1,86.71,C
188,1,2,"Johnson, Mrs. William",female,15.4,0,0,35.91,C
189,0,3,"Nasser, Mrs. Gustaf",female,43.2,1,0,9.25,C
190,0,3,"Sandstrom, Mr. Margit",male,31.9,0,0,8.8,C
191,1,2,"Bonnell, Mrs. Heinrich",female,41.2,0,0,24.83,C
192,0,3,"Chambers, Mrs. Ada",female,37.3,1,0,8.9,S
193,0,3,"Frolicher, Mr. Thomas",male,20.8,2,0,14.52,S
194,0,3,"Kelly, Mr. Laina",male,25.8,0,0,9.61,S
195,0,2,"Anderson, Mr. James",male,19.8,0,0,41.76,C
196,0,2,"Smith, Mr. Oscar",male,44.6,0,0,25.25,S
197,1,3,"Brown, Mrs. Elizabeth",female,46.4,0,2,15.12,S
198,0,3,"Davis, Mrs. Annie",female,33.3,0,1,16.88,S
199,0,3,"Wilson, Mr. Edward",male,64.8,1,1,17.41,S
200,1,1,"Braund, Mrs. Owen",female,40.0,1,0,112.11,S
